Company,Ticker,Expected Return (Historical),Expected Return (CAPM),Volatility(%),Beta,differences
Microsoft,MSFT,28.583888621415504,13.918985828911815,27.671063772100133,1.2122113631519427,14.664902792503689
Lululemon,LULU,30.1056252715106,13.20221372868023,39.93334665726587,1.1054424482703558,16.90341154283037
NVIDIA,NVDA,67.2431874627986,17.10933895120036,48.00470997018475,1.6874398783882003,50.133848511598245
Walmart,WMT,11.362197292626231,9.265697398107521,21.309670289369585,0.5190669784479423,2.0964998945187094
Next Era Energy,NEE,13.084580922196071,10.400147939871786,24.274881203697863,0.6880524248567299,2.684432982324285
Enbridge,ENB,1.4519369521130183,11.70705131455152,27.896765512210127,0.8827260946669186,-10.255114362438503
Canadian Natural Resources Ltd,CNQ,16.992923729309453,13.99867349852066,43.54736443546539,1.2240814764150425,2.9942502307887935
Royal Bank,RY,6.681798901094295,11.189922886215271,20.870080215265137,0.8056956952832894,-4.508123985120976
Bank of Montreal,BMO,6.849628432085351,11.998510540006183,24.076264032131213,0.9261412683657383,-5.148882107920833
IBM,IBM,3.566734469890015,11.45224007602296,24.243179958706374,0.8447699305967249,-7.885505606132945
Netflix,NFLX,36.182195004769355,13.683026063372026,45.37905230807701,1.1770632761738682,22.49916894139733
Ford Motor Co,F,4.54627918440311,13.614141886196165,35.812842567316835,1.1668024291805192,-9.067862701793056
Exxon Mobil Corp,XOM,5.939005721069584,11.750847406740784,28.406675442508412,0.8892498715237338,-5.811841685671199
British Petroleum PLC,BP,3.0100192850143213,12.173494653278173,32.291380221548124,0.9522065461430552,-9.163475368263851
Nike,NKE,13.975383300503896,12.725220915432905,29.49981262498226,1.0343905685162782,1.2501623850709915
